Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
A Memory of Light (Wheel of Time),,$9.99,In Stock.,$8.99,"Tor Fantasy (December 31, 2013)",English,4 x 2 x 6.7 inches,Fantasy Action & Adventure,Brandon Sanderson
"The Wrath & the Dawn (The Wrath and the Dawn)""the book is a Rough Cut Edition (pages are deliberately not the same length)""","May 12, 2015",Renée Ahdieh,In Stock.,$8.48,"G.P. Putnam's Sons Books for Young Readers; First Edition edition (May 12, 2015)",English,5.8 x 1.2 x 8.5 inches,Teen & Young Adult Ancient Historical Fiction,
Captivated by You: A Crossfire Novel,2014,SYLVIA DAY,In Stock.,$12.11,Penguin; 4th edition (2014),English,5.1 x 0.9 x 7.8 inches,,
"City of Fallen Angels (Mortal Instruments, Book 4)","Apr 5, 2011",Cassandra Clare,,$7.59,"Margaret K. McElderry Books (April 5, 2011)",English,6 x 1.4 x 9 inches,Teen & Young Adult New Experiences Fiction,
"Flavor Flours: A New Way to Bake with Teff, Buckwheat, Sorghum, Other Whole & Ancient Grains, Nuts & Non-Wheat Flours","Oct 28, 2014",Alice Medrich and,,$29.01,"Artisan; 1st Edition edition (October 28, 2014)",English,8 x 1.2 x 10.2 inches,Food Allergies,Leigh Beisch
Let's Pretend This Never Happened: (A Mostly True Memoir),"Apr 17, 2012",Jenny Lawson,,$10.74,"Putnam Adult; First Edition edition (April 17, 2012)",English,6.3 x 1.1 x 9.3 inches,Humor Essays,
The Famished Road,"May 1, 1993",Ben Okri,In Stock.,$9.93,"Anchor; Reprint edition (May 1, 1993)",English,5.2 x 0.8 x 8 inches,Cultural Heritage Fiction,
V Is for Vegetables: Inspired Recipes & Techniques for Home Cooks -- from Artichokes to Zucchini,"Oct 27, 2015",Michael Anthony and,In Stock.,$11.97,"Little, Brown and Company; unabridged edition (October 27, 2015)",English,9 x 1.5 x 10.9 inches,Potato Cooking,Dorothy Kalins
The Light Between Oceans: A Novel,"Jul 31, 2012",M. L. Stedman,In Stock.,$8.14,"Scribner; 1st edition (July 31, 2012)",English,6 x 1.3 x 9 inches,Australia & Oceania Literature,
Ingredient: Unveiling the Essential Elements of Food,"Sep 27, 2016",Ali Bouzari,In Stock.,$16.36,"Ecco (September 27, 2016)",English,7.4 x 0.9 x 9.1 inches,Food Science,
In a Free State: A Novel,"Feb 12, 2002",V. S. Naipaul,In Stock.,$13.90,"Vintage; 1st Vintage International ed edition (February 12, 2002)",English,5.2 x 0.6 x 8 inches,Haiti Travel Guides,
Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,"Aug 23, 2016",Heather Ann Thompson,In Stock.,$11.19,"Pantheon; First Edition, First Printing edition (August 23, 2016)",English,6.3 x 1.5 x 9.5 inches,Law Enforcement Politics,
Speaker for the Dead (The Ender Quintet),"Aug 15, 1992",Orson Scott Card,In Stock.,$8.99,"Tor Books; First edition (August 15, 1992)",English,6 x 0.6 x 9 inches,Military Science Fiction,
