"Book_Name","Book_Published_Date","Book_Author","Book_Image","Book_Stock_availability","Book_Price","Book_Publisher","Book_Language","Book_Dimensions","Book_Catagory","Book_Second_Author"
"Written in My Own Heart's Blood (Outlander)","Jun 10, 2014","Diana Gabaldon","https://images-na.ssl-images-amazon.com/images/I/518jMjtY04L._AC_US218_.jpg","In Stock.","$11.68","Delacorte Press; First Edition edition (June 10, 2014)","English","6.4 x 2.1 x 9.6 inches","Time Travel",""
"Alternative Baker: Reinventing Dessert with Gluten-Free Grains and Flours","Sep 13, 2016","Alanna Taylor-Tobin","https://images-na.ssl-images-amazon.com/images/I/61p0phDMuLL._AC_US218_.jpg","In Stock.","$9.09","Page Street Publishing (September 13, 2016)","English","8 x 0.8 x 9 inches","Pastry",""
"The Return (Pulitzer Prize Winner): Fathers, Sons and the Land in Between","Apr 4, 2017","Hisham Matar","https://images-na.ssl-images-amazon.com/images/I/51RfgItFYNL._AC_US218_.jpg","In Stock.","$11.55","Random House Trade Paperbacks; Reprint edition (April 4, 2017)","English","5.2 x 0.6 x 8 inches","African",""
"The Sense of an Ending","May 29, 2012","Julian Barnes","https://images-na.ssl-images-amazon.com/images/I/51tILRgrl2L._AC_US218_.jpg","In Stock.","$5.99","Vintage Books; 1st edition (May 29, 2012)","English","5.5 x 0.6 x 8 inches","Self-Help & Psychology",""
"NOPI: The Cookbook","Oct 20, 2015","Yotam Ottolenghi and","https://images-na.ssl-images-amazon.com/images/I/31yUIz+lTzL._AC_US218_.jpg","In Stock.","$19.99","Ten Speed Press; 1st Ed edition (October 20, 2015)","English","8 x 1.2 x 10.9 inches","Middle Eastern","Ramael Scully"
"Divergent","May 3, 2011","Veronica Roth","https://images-na.ssl-images-amazon.com/images/I/51dGX+odxcL._AC_US218_.jpg","In Stock.","$8.83","Katherine Tegen Books; 1st edition (May 3, 2011)","English","5.5 x 1.5 x 8.2 inches","Values & Virtues",""
"Red Queen","Feb 10, 2015","Victoria Aveyard","https://images-na.ssl-images-amazon.com/images/I/41VTPDCAq5L._AC_US218_.jpg","In Stock.","$9.50","HarperTeen; 1st edition (February 10, 2015)","English","6 x 1.2 x 9 inches","Fantasy & Supernatural",""
"The Blind Assassin: A Novel","Aug 28, 2001","Margaret Atwood","https://images-na.ssl-images-amazon.com/images/I/51iDU9kBsHL._AC_US218_.jpg","In Stock.","$8.15","Anchor (August 28, 2001)","English","5.2 x 0.9 x 8 inches","Garden Design",""
"When I Grow Up","Feb 1, 2011","Al Yankovic and","https://images-na.ssl-images-amazon.com/images/I/61PilfWUpHL._AC_US218_.jpg","In Stock.","$9.93","HarperCollins; 1st edition (February 1, 2011)","English","11.2 x 0.2 x 10.5 inches","Jobs & Careers","Wes Hargis"
"The Left Hand of Darkness (Ace Science Fiction)","Jul 1, 2000","Ursula K. Le Guin","https://images-na.ssl-images-amazon.com/images/I/41Vdgy-vugL._AC_US218_.jpg","In Stock.","$9.67","Ace; Reissue edition (July 1, 2000)","English","5.2 x 0.8 x 8.2 inches","Exploration",""
"Sourdough: Recipes for Rustic Fermented Breads, Sweets, Savories, and More","Nov 3, 2015","Sarah Owens and","https://images-na.ssl-images-amazon.com/images/I/61MG2719fAL._AC_US218_.jpg","","$23.46","Roost Books (November 3, 2015)","English","8.3 x 1.1 x 10.3 inches","Frozen Desserts","Ngoc Minh Ngo"
"Catching Fire (The Hunger Games)","Sep 1, 2009","Suzanne Collins","https://images-na.ssl-images-amazon.com/images/I/51IufOs4JTL._AC_US218_.jpg","In Stock.","$7.95","Scholastic Press; 1st edition (September 1, 2009)","English","6 x 1.5 x 9 inches","Self Esteem & Reliance",""
"A Brief History of Seven Killings: A Novel","Sep 8, 2015","Marlon James","https://images-na.ssl-images-amazon.com/images/I/51p2Q0qsNBL._AC_US218_.jpg","In Stock.","$9.19","Riverhead Books; Reprint edition (September 8, 2015)","English","5.5 x 1.4 x 8.2 inches","Australia & Oceania",""
"Mr. Mercedes: A Novel (The Bill Hodges Trilogy)","Jun 3, 2014","Stephen King","https://images-na.ssl-images-amazon.com/images/I/51D0welpt7L._AC_US218_.jpg","","$7.86","Scribner; 1st edition (June 3, 2014)","English","6.1 x 1.5 x 9.2 inches","Contemporary",""
"Doctor Sleep: A Novel","Sep 24, 2013","Stephen King","https://images-na.ssl-images-amazon.com/images/I/511XunzJhPL._AC_US218_.jpg","","$9.84","Scribner; 1st edition (September 24, 2013)","English","6.1 x 1.7 x 9.2 inches","Contemporary",""
"The White Tiger: A Novel","Oct 14, 2008","Aravind Adiga","https://images-na.ssl-images-amazon.com/images/I/514rpfWaV-L._AC_US218_.jpg","In Stock.","$7.19","Free Press (October 14, 2008)","English","5.5 x 0.9 x 8.4 inches","Indian",""
"The Young Chef: Recipes and Techniques for Kids Who Love to Cook","Apr 5, 2016","The Culinary Institute of America","https://images-na.ssl-images-amazon.com/images/I/61STTzurr3L._AC_US218_.jpg","In Stock.","$11.86","Houghton Mifflin Harcourt; 1 edition (April 5, 2016)","English","8 x 0.5 x 9 inches","Cooking with Kids",""
"Olio","Apr 5, 2016","Tyehimba Jess","https://images-na.ssl-images-amazon.com/images/I/41KdSSJXDDL._AC_US218_.jpg","In Stock.","$12.99","Wave Books; First Edition edition (April 5, 2016)","English","8.5 x 0.5 x 10 inches","Poetry",""
"Taste of Persia: A Cook's Travels Through Armenia, Azerbaijan, Georgia, Iran, and Kurdistan","Sep 20, 2016","Naomi Duguid","https://images-na.ssl-images-amazon.com/images/I/61Va9ihN+5L._AC_US218_.jpg","In Stock.","$18.90","Artisan; y First printing edition (September 20, 2016)","English","7.8 x 1.2 x 9.8 inches","Essays",""
"Brown Girl Dreaming (Newbery Honor Book)","Aug 28, 2014","Jacqueline Woodson","https://images-na.ssl-images-amazon.com/images/I/51vX9UhFKmL._AC_US218_.jpg","In Stock.","$8.86","Nancy Paulsen Books; 1 edition (August 28, 2014)","English","5.9 x 1.1 x 8.6 inches","Literary",""
"The City & The City: A Novel (Random House Reader's Circle)","Apr 27, 2010","China Miéville","https://images-na.ssl-images-amazon.com/images/I/51ox4-e+-3L._AC_US218_.jpg","In Stock.","$9.95","Del Rey; Reprint edition (April 27, 2010)","English","5.5 x 0.8 x 8.2 inches","Asian",""
"Taste & Technique: Recipes to Elevate Your Home Cooking","Sep 13, 2016","Naomi Pomeroy","https://images-na.ssl-images-amazon.com/images/I/51yIcRaXW6L._AC_US218_.jpg","In Stock.","$8.70","Ten Speed Press (September 13, 2016)","English","8.8 x 1.4 x 11 inches","Northwestern",""
"Tasting Rome: Fresh Flavors and Forgotten Recipes from an Ancient City","Mar 29, 2016","Katie Parla and","https://images-na.ssl-images-amazon.com/images/I/517toeNWWqL._AC_US218_.jpg","In Stock.","$9.60","Clarkson Potter (March 29, 2016)","English","7.2 x 1 x 10.3 inches","Mediterranean","Kristina Gill"
"Neuromancer","Jul 1, 2000","William Gibson","https://images-na.ssl-images-amazon.com/images/I/51kg5vP-RvL._AC_US218_.jpg","In Stock.","$11.48","Ace; Reprint edition (July 1, 2000)","English","5.2 x 0.7 x 8.2 inches","Technothrillers",""
"A Little Life: A Novel","Mar 10, 2015","Hanya Yanagihara","https://images-na.ssl-images-amazon.com/images/I/51CpKqN8VIL._AC_US218_.jpg","In Stock.","$14.40","Doubleday; 1St Edition edition (March 10, 2015)","English","6.5 x 1.8 x 9.5 inches","Asian American",""
"Illuminae (The Illuminae Files)","Oct 20, 2015","Amie Kaufman and","https://images-na.ssl-images-amazon.com/images/I/51eHVZ-yB5L._AC_US218_.jpg","In Stock.","$10.59","Knopf Books for Young Readers; 1st Edition edition (October 20, 2015)","English","6.4 x 1.8 x 9.4 inches","Space Opera","Jay Kristoff"
"Barbarian Days: A Surfing Life","Jul 21, 2015","William Finnegan","https://images-na.ssl-images-amazon.com/images/I/514ZYLCzJ8L._AC_US218_.jpg","In Stock.","$8.99","Penguin Press; 1st edition (July 21, 2015)","English","6.5 x 1.5 x 9.6 inches","Surfing",""
"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China","May 5, 2015","Evan Osnos","https://images-na.ssl-images-amazon.com/images/I/51YjcUmVVLL._AC_US218_.jpg","In Stock.","$8.28","Farrar, Straus and Giroux; Reprint edition (May 5, 2015)","English","5.5 x 1.1 x 8.2 inches","China",""
"The Son of Neptune (Heroes of Olympus, Book 2)","Oct 4, 2011","Rick Riordan","https://images-na.ssl-images-amazon.com/images/I/51EJSYod-tL._AC_US218_.jpg","In Stock.","$7.75","Disney-Hyperion (October 4, 2011)","English","6 x 1.6 x 8.6 inches","Other",""
"Finders Keepers: A Novel (The Bill Hodges Trilogy)","Jun 2, 2015","Stephen King","https://images-na.ssl-images-amazon.com/images/I/51ZR4hWKSsL._AC_US218_.jpg","In Stock.","$8.67","Scribner; First Edition edition (June 2, 2015)","English","6.1 x 1.5 x 9.2 inches","Psychics",""
"Before I Fall Enhanced Edition","Mar 8, 2016","Lauren Oliver","https://images-na.ssl-images-amazon.com/images/I/51ozCdDcmvL._AC_US218_.jpg","In Stock.","$8.98","HarperCollins; Reprint edition (March 8, 2016)","English","5.2 x 1.2 x 8.2 inches","Being a Teen",""
"Grape, Olive, Pig: Deep Travels Through Spain's Food Culture","Nov 15, 2016","Matt Goulding","https://images-na.ssl-images-amazon.com/images/I/41oKIiZtszL._AC_US218_.jpg","In Stock.","$19.03","Harper Wave/Anthony Bourdain (November 15, 2016)","English","6.5 x 1.3 x 7.8 inches","Spanish",""
"Confess: A Novel","Mar 10, 2015","Colleen Hoover","https://images-na.ssl-images-amazon.com/images/I/51oCQfBKSdL._AC_US218_.jpg","In Stock.","$8.99","Atria Books (March 10, 2015)","English","5.3 x 0.7 x 8.2 inches","New Adult & College",""
"1Q84","Oct 25, 2011","Haruki Murakami and","https://images-na.ssl-images-amazon.com/images/I/511Tmj1pJVL._AC_US218_.jpg","","$14.60","Knopf; First Edition edition (October 25, 2011)","English","6.3 x 2.1 x 9.4 inches","Magical Realism","Jay Rubin"
"Memory Man (Amos Decker)","Apr 21, 2015","David Baldacci","https://images-na.ssl-images-amazon.com/images/I/51ljhizQagL._AC_US218_.jpg","In Stock.","$8.00","Grand Central Publishing; 1st edition (April 21, 2015)","English","6.2 x 1.5 x 9.2 inches","International Mystery & Crime",""
"Bar Tartine: Techniques & Recipes","Nov 25, 2014","Cortney Burns and","https://images-na.ssl-images-amazon.com/images/I/61886GIWBkL._AC_US218_.jpg","In Stock.","$19.73","Chronicle Books; 1st edition (November 25, 2014)","English","8.9 x 1.2 x 10.2 inches","California","Nicolaus Balla"
"An Echo in the Bone (Outlander)","Sep 22, 2009","Diana Gabaldon","https://images-na.ssl-images-amazon.com/images/I/41CssNzw4dL._AC_US218_.jpg","","$8.93","Delacorte Press; 1st edition (September 22, 2009)","English","6.4 x 2 x 9.5 inches","Time Travel",""
"The Ocean at the End of the Lane: A Novel","Jun 18, 2013","Neil Gaiman","https://images-na.ssl-images-amazon.com/images/I/51dMd5Qa-ML._AC_US218_.jpg","In Stock.","$9.75","William Morrow; 1st edition (June 18, 2013)","English","5.5 x 0.7 x 8.2 inches","Magical Realism",""
"Six of Crows","Sep 29, 2015","Leigh Bardugo","https://images-na.ssl-images-amazon.com/images/I/51iSWw2rpOL._AC_US218_.jpg","In Stock.","$11.70","Henry Holt and Co. (BYR); First Edition edition (September 29, 2015)","English","6.3 x 1.6 x 9.4 inches","Law & Crime",""
"Wild: From Lost to Found on the Pacific Crest Trail","Mar 20, 2012","Cheryl Strayed","https://images-na.ssl-images-amazon.com/images/I/415YBHjDaEL._AC_US218_.jpg","In Stock.","$9.73","Knopf; 1 edition (March 20, 2012)","English","6.6 x 1.2 x 9.5 inches","Pacific",""
"Carry On: A Novel","Oct 6, 2015","Rainbow Rowell","https://images-na.ssl-images-amazon.com/images/I/51Lj8AW-86L._AC_US218_.jpg","In Stock.","$9.99","St. Martin's Griffin; 1st edition (October 6, 2015)","English","5.9 x 1.7 x 8.6 inches","LGBT",""
"A Fire Upon The Deep (Zones of Thought)","Feb 15, 1993","Vernor Vinge","https://images-na.ssl-images-amazon.com/images/I/51OrT3Zz+fL._AC_US218_.jpg","","$7.07","Tor Science Fiction (February 15, 1993)","English","4.4 x 1.4 x 6.8 inches","Hard Science Fiction",""
"Gone Girl","Jun 5, 2012","Gillian Flynn","https://images-na.ssl-images-amazon.com/images/I/41etyGVwOwL._AC_US218_.jpg","In Stock.","$7.95","Crown; 1st edition (June 5, 2012)","English","6.4 x 1.5 x 9.5 inches","Murder",""
"Veronica Mars (2): An Original Mystery by Rob Thomas: Mr. Kiss and Tell","Jan 20, 2015","Rob Thomas and","https://images-na.ssl-images-amazon.com/images/I/51X3ZjYkrlL._AC_US218_.jpg","In Stock.","$11.50","Vintage; Media Tie In edition (January 20, 2015)","English","5.2 x 0.7 x 8 inches","TV, Movie, Video Game Adaptations","Jennifer Graham"
"The Bone People: A Novel","Oct 7, 1986","Keri Hulme","https://images-na.ssl-images-amazon.com/images/I/512f00psp5L._AC_US218_.jpg","In Stock.","$7.97","Penguin Books (October 7, 1986)","English","5 x 1 x 7.8 inches","Magical Realism",""
"Blueberry Girl","Mar 10, 2009","Neil Gaiman and","https://images-na.ssl-images-amazon.com/images/I/61sfPjDoYWL._AC_US218_.jpg","In Stock.","$12.81","HarperCollins; First Edition edition (March 10, 2009)","English","10 x 0.2 x 10 inches","Comic Strips","Charles Vess"
"Possession","Oct 1, 1991","A. S. Byatt","https://images-na.ssl-images-amazon.com/images/I/61OT1yGyjeL._AC_US218_.jpg","In Stock.","$8.20","Vintage (October 1, 1991)","English","5.1 x 0.9 x 8 inches","Gothic",""
"Redshirts: A Novel with Three Codas","Jan 15, 2013","John Scalzi","https://images-na.ssl-images-amazon.com/images/I/51YL7SdAXHL._AC_US218_.jpg","In Stock.","$8.50","Tor Books; First edition (January 15, 2013)","English","5.5 x 0.9 x 8.2 inches","First Contact",""
"The Yiddish Policemen's Union: A Novel (P.S.)","Apr 29, 2008","Michael Chabon","https://images-na.ssl-images-amazon.com/images/I/510iAbLLsHL._AC_US218_.jpg","In Stock.","$7.10","Harper Perennial; Reprint edition (April 29, 2008)","English","5.3 x 1 x 8 inches","Alternate History",""
"The Diamond Age: Or, a Young Lady's Illustrated Primer (Bantam Spectra Book)","May 2, 2000","Neal Stephenson","https://images-na.ssl-images-amazon.com/images/I/51xN0Nr9OhL._AC_US218_.jpg","In Stock.","$9.65","Spectra; Reprint edition (May 2, 2000)","English","5.2 x 1.2 x 8.2 inches","Cyberpunk",""
"Fall of Giants (The Century Trilogy, Book One)","Sep 28, 2010","Ken Follett","https://images-na.ssl-images-amazon.com/images/I/51e0JDEOzDL._AC_US218_.jpg","In Stock.","$8.61","Viking (September 28, 2010)","English","6.2 x 1.8 x 9.5 inches","Cultural Heritage",""
"Rat Queens Volume 1: Sass & Sorcery","Apr 8, 2014","Kurtis J. Wiebe and","https://images-na.ssl-images-amazon.com/images/I/51uvBJX0sPL._AC_US218_.jpg","In Stock.","$6.16","Image Comics (April 8, 2014)","English","6.4 x 0.4 x 10 inches","Contemporary Women","Laura Tavishati"
"Ringworld: A Novel","Sep 12, 1985","Larry Niven","https://images-na.ssl-images-amazon.com/images/I/51KCGqs3keL._AC_US218_.jpg","In Stock.","$6.47","Del Rey; later printing edition (September 12, 1985)","English","4.1 x 0.9 x 6.9 inches","Exploration",""
"Yucatán: Recipes from a Culinary Expedition (William and Bettye Nowlin Series in Art, History, and Cultur)","Mar 30, 2014","David Sterling","https://images-na.ssl-images-amazon.com/images/I/61DPE4pV+zL._AC_US218_.jpg","In Stock.","$41.30","University of Texas Press (March 30, 2014)","English","9.5 x 1.8 x 11 inches","Mexican",""
"Redeployment","Feb 24, 2015","Phil Klay","https://images-na.ssl-images-amazon.com/images/I/51lRLpmOe2L._AC_US218_.jpg","In Stock.","$7.94","Penguin Books; Reprint edition (February 24, 2015)","English","5.3 x 0.8 x 8 inches","Anthologies",""
"The Windup Girl","2009","Paolo Bacigalupi","https://images-na.ssl-images-amazon.com/images/I/51-VORSGT+L._AC_US218_.jpg","In Stock.","$9.33","Night Shade Books; 1st edition (2009)","English","6 x 1 x 9 inches","Genetic Engineering",""
"Ancillary Sword (Imperial Radch)","Oct 7, 2014","Ann Leckie","https://images-na.ssl-images-amazon.com/images/I/51gHPdnSAwL._AC_US218_.jpg","In Stock.","$7.99","Orbit; Reprint edition (October 7, 2014)","English","5.5 x 1.1 x 8.2 inches","Hard Science Fiction",""
"Moon Tiger","Sep 18, 1997","Penelope Lively","https://images-na.ssl-images-amazon.com/images/I/51UDyXPzRjL._AC_US218_.jpg","In Stock.","$8.02","Grove Press (September 18, 1997)","English","5.5 x 0.8 x 8.5 inches","Contemporary",""
"Allegiant","Oct 22, 2013","Veronica Roth","https://images-na.ssl-images-amazon.com/images/I/51AXNYr9hkL._AC_US218_.jpg","","$7.94","Katherine Tegen Books; 1ST edition (2013)","English","5.5 x 1.6 x 8.2 inches","Values & Virtues",""
